knljdkfl-1	UNASSIGNED
afjkebff-1	cekmhmfi-1
aeaofjck-1	aalobopo-1
aeapfddg-1	aalodjbg-1
afinnkgc-1	aalogcfn-1
afehpgkn-1	aalpgofp-1
aeamojjm-1	aalojnod-1
afdohlnl-1	aalpgeli-1
afdnbbdh-1	aalpmfij-1
afffdbim-1	aalpmnpp-1
affejjeo-1	aalpodge-1
aefgejdd-1	aamaigkm-1
aeeeiafh-1	aamahngf-1
affimjdi-1	cfffkiml-1
aefibjbe-1	aambdgki-1
aeffpnbk-1	aambhcpj-1
aefidjld-1	odgpbolo-1
aefijlmb-1	aamcgclf-1
afdjimik-1	cfdbjipk-1
affhemmo-1	aamckdik-1
afdigcbk-1	aamckikb-1
afkipinc-1	aamcminp-1
afkpddmn-1	cigcgnnp-1
afjndaae-1	aamdoglk-1
afkhoflp-1	aamebkam-1
agaaalib-1	cembhcli-1
afhmpgjh-1	aamepekj-1
agacipdg-1	aamfoeni-1
afdfigoj-1	aamfoibi-1
afkjhkdh-1	cemcnbho-1
afiaejbp-1	aamgbpmi-1
afiajjjj-1	cojfmpcd-1
afdbiaph-1	cekiffdg-1
afddcpmn-1	cfcobpca-1
acbibojn-1	cekkagpc-1
afdbpfjo-1	aamiidak-1
agfmgnmk-1	aamjooao-1
agffaeib-1	cohlpefg-1
agfgkkfd-1	cpebjnam-1
agfmjkmo-1	cpedidob-1
aggnbadl-1	aammgboo-1
aggoeegp-1	cpdnnlbn-1
aggidoec-1	aamndimn-1
aggnicba-1	odjmfbfm-1
aggneokg-1	coindbga-1
aggfcbmo-1	aamofbgj-1
acjdhilh-1	cijabfcd-1
aggcgjdl-1	aamojgfe-1
aggchlkj-1	cijacmgl-1
aghclgmh-1	cpeadjcg-1
aghffomm-1	odkafpdl-1
agfhcijf-1	coghefep-1
agfejonb-1	odkbealb-1
agfejkfe-1	cpedmdki-1
agfgpfib-1	cogogiig-1
agfgcpjg-1	cpeefcnh-1
agffokcl-1	cpebjlcj-1
aggmkood-1	cpedlhbg-1
agfhcjlc-1	cogkhihj-1
agdkakoo-1	cpgmekbe-1
agdkoipd-1	cpgeajgh-1
aghfklcn-1	cpieekoi-1
aghhpnkj-1	cpigcafi-1
agdkacmb-1	cphiofho-1
aikglfej-1	cpgnknem-1
agdiahfd-1	cphfmaof-1
agdkhpjk-1	cphgidnh-1
aghihfak-1	cpijjbdn-1
agelkapc-1	cpcknckd-1
agemgigo-1	cpggpelo-1
agejnhcp-1	cpcjefmn-1
agfmjlhp-1	cpecbmhm-1
agfoaihh-1	cpedlbkh-1
agejoccm-1	aanhkkno-1
agfoopkn-1	cpeagfkp-1
agejjlnk-1	aanhimdf-1
ageliocm-1	cpckoehf-1
agdoggga-1	cpgiiace-1
agflaglm-1	cpcmmocd-1
aggoodhd-1	cpjcdaob-1
agdmpdfj-1	cpjchpdb-1
agedelim-1	cpgdkdeb-1
agdlfkmb-1	aanipiog-1
agebdfal-1	cpgkkbme-1
agebpjaf-1	aanjkpmd-1
aimnfejb-1	aanlcjdm-1
aimmokmp-1	cpemimgl-1
aimndjdc-1	aanlcapc-1
aiibhloc-1	cpfgcecl-1
ainanbch-1	aannciid-1
ainapgfk-1	cpfgaimp-1
ainakahb-1	aanmncmh-1
ainaopod-1	aannijil-1
ainapaco-1	aannladd-1
ainnnjoj-1	elhkdnbl-1
ainkafkm-1	eliddedp-1
aihggcja-1	elamfijk-1
aihdkmae-1	cpfkpmgp-1
aijbnali-1	odjomkgk-1
aijefbbd-1	cpancmbi-1
aihjbjcm-1	elibecio-1
aihipjna-1	cilpbpod-1
aikbdjai-1	cimekojb-1
aijbloke-1	cimfagah-1
aihhlfhi-1	odhokfii-1
aincdjml-1	elakhogp-1
aincjkli-1	aaobjmbn-1
aiodfmog-1	oedlgnpp-1
aihpggaa-1	oedjolbn-1
aihcphbk-1	elamgffd-1
aihcoekl-1	elanhifg-1
aiidcfho-1	elangflc-1
aihomkig-1	elaoalfo-1
aincbkpm-1	aaodilbc-1
aiholeln-1	aaodmolf-1
aihellcb-1	compcecb-1
aikcbcjc-1	comndheg-1
aihdmbma-1	comolmdo-1
ailhddjg-1	aaollmmi-1
ailhbdko-1	comkfdgj-1
aihlinjj-1	colmhafk-1
aihloecg-1	colnkkja-1
aijpahpi-1	conaaocb-1
aihmagfc-1	colooafo-1
aimopmhg-1	aaofibpa-1
aibigame-1	cphdmgoe-1
aibiiana-1	aaofmnad-1
aibhpdje-1	cphggfbi-1
aimpfonk-1	aaohebnf-1
aimomidi-1	aaohbgmp-1
aimmeiim-1	aaoildge-1
aimnldmd-1	aaohmakp-1
aimpgllk-1	aaoipief-1
aimjoeeb-1	aaojacem-1
aikenlia-1	cpengpob-1
ailgjgcb-1	cpfbknnh-1
ailiopkb-1	comjelkb-1
aileflmc-1	aaokemig-1
ailjabhk-1	odjnfdeg-1
aildinpn-1	odjnifpo-1
aikfemcg-1	cpfadgff-1
ailhgnpb-1	cpfcoama-1
ailhifcb-1	aaommklc-1
ailimidj-1	cpfeilcm-1
ailghgna-1	cpfebogc-1
aikfkkeb-1	cphbdehd-1
ajgapkcd-1	clmohcme-1
ajfpflgo-1	cmggiiob-1
ajfhebjp-1	cmfhebjm-1
ajfbffcc-1	cmffpdjj-1
ajflobhp-1	cmgncmjl-1
cjhmmeaj-1	odieeock-1
cjjjginl-1	aapbopnn-1
cjjpjbjg-1	cloeadhj-1
cjkckjhj-1	clmpbhoi-1
cjopbdpg-1	cmaohdok-1
cjggagcp-1	odiekmie-1
cjfgggfb-1	odiindnm-1
cjgojiei-1	odiahnib-1
cjgolmhk-1	odidghjl-1
cjgjoemn-1	aapmaahl-1
cjgignch-1	cjpjncpg-1
cjgembdd-1	aapmpjbm-1
cjgemplk-1	aapmpjnh-1
cjgiilof-1	aapnnfjd-1
cjgpgedo-1	aapnnnfe-1
cjgfhfbi-1	aapnoiho-1
cigljpoc-1	odiinmem-1
cocnfgii-1	odigdakg-1
cnofppaj-1	odngcjlh-1
cignonoi-1	odijhfeh-1
cjjfdjkg-1	abcbhana-1
cjjidmhg-1	abcdngep-1
cjipclpp-1	clanmoip-1
cjfekbln-1	abcfccam-1
cjflicbm-1	abcdfoml-1
cjfebfcn-1	abcdghih-1
cjjfpfha-1	clakpnhj-1
ciicobfp-1	clbicgmp-1
cigjegcp-1	abdfmjej-1
cigjfhcp-1	abclknim-1
cigmeojj-1	clbcjjki-1
cigmeifn-1	ckoeiiff-1
cigkopif-1	abcoiajo-1
ciglemak-1	abcoohjj-1
cihednlp-1	clbchoeh-1
ciheafmo-1	clbclfng-1
cihddffd-1	abdcdfjg-1
ciokpfaa-1	abdcfnlj-1
cigclbla-1	cldhamkg-1
cildfpjb-1	abdckpfa-1
ciobalon-1	abdclkel-1
ciocilpl-1	cledaokg-1
cigcbmjp-1	abdcpnma-1
cigelfhh-1	abddgeip-1
ciincdej-1	abddiolg-1
ciineenp-1	abddkjbd-1
cikhfjka-1	abddkolk-1
cijcppli-1	abddmgio-1
cilbpocb-1	abddomkn-1
cijllgof-1	abddpmic-1
cilagojc-1	abdeffoe-1
cijmnbam-1	abdegdcd-1
cigdpilh-1	abdjggbo-1
cijhcakm-1	clbpgogm-1
cijihibf-1	abdepaop-1
cigelknh-1	clahmjnf-1
cijhagji-1	clbpogjn-1
cihdppbi-1	clbcakni-1
cjfcobbg-1	abdfigcl-1
cihaimoo-1	abdghgie-1
cihejlkh-1	clbpdlda-1
cijghnjh-1	abdhkpnb-1
cijgbohl-1	abdhmcdl-1
cijgihhn-1	abdicngj-1
cjkmmkhh-1	abdidbce-1
cjkleehj-1	abdihkjn-1
cjkjpone-1	abdiigdm-1
cjkmjaph-1	abdjapni-1
cigdfben-1	clbpknko-1
cjklnphn-1	abdkfbkg-1
cjmgajll-1	abdkfoka-1
cjmgljhg-1	abdkhcej-1
cjkjdicl-1	abdkjfmk-1
cjkipief-1	abdklcod-1
cjkgafne-1	abdkpkpg-1
ciiogede-1	abdlhbob-1
cihjohnd-1	abdljofj-1
cihmpcpl-1	abdlmmka-1
ciiplpdj-1	abdlmnho-1
cilhaedm-1	abdmchln-1
cikflpff-1	abdmhenj-1
cilgioao-1	abdnacek-1
cikclnkl-1	abdndpak-1
cijceheh-1	abdnengp-1
cijpjapi-1	cldoojle-1
cijgekfd-1	abdnpfic-1
ciiicfbd-1	abdofpll-1
cigkjehk-1	clbpbenc-1
cigjajhb-1	clbnoikj-1
ajaenhcn-1	emhjnjgg-1
aipcdmdi-1	emhjlebo-1
ajlkiacc-1	emilbnhe-1
ajdfhapc-1	abdooddd-1
ajdbdbmh-1	abdoomgd-1
ajafipbi-1	cipgfojm-1
ajaamiok-1	cipgnchi-1
aippnlpm-1	cionmnhh-1
ajaebpjm-1	ciomjoan-1
ajijkmia-1	abeaojpg-1
ajochpkl-1	abebakap-1
